售前/售后,英文/小语种,id,渠道channel,会话chatSessionId,客户名称customer,提交时间,remark,sessionId,starLevel,意图分类,翻译
售后,小语种,1a27627085a5429642e01bf093fa1b12,fr_sp14,|82722338844351652280680,xeOlU08FEWxgQ/GPTAOtB2Lb14bLBdVssoBJaO6Rmt4=,2024-10-01,Image et vidéo floue. Calibration effectuée mais sans qucces,dD9Z78MwdcOfUMHnYSn4I2Iqunxk1U+NJ6M7ew17J7E=,5.0,产品故障,图像和视频。校准执行但没有一些
售前,英文,bc13dd98cff4e1ef34255b384f7e59dc,na_store1,|82721611706522805172248,P0TM1tGN2wnX6NqycUNXqSjfekXFiq89l6DbGIQnJbA=,2024-10-02,It was terrible. Didn't have any idea what I was typing and no answer provided at all. ,4EmKhdRjzdqocpYxkDYYLQ==,1.0,服务不满,太可怕了。不知道我在输入什么，根本没有答案。
售后,小语种,d7bf3e0cef29633f9c70bf503ad4ff79,kr_sp1,|82719083069823665910377,HHggJOf8+6oyAcckYAlxe+GVYHdv1ERXOfJJAeHTXc8=,2024-10-05,보험입력은 어디에서 하나요??,tZWu6xs/+2CslfYyIA9VYt+Vfsl+MXM+LxMDuTgNe2g=,3.0,使用指导,您在哪里有保险投入？
售后,小语种,7a926747cf9a3cc06fa02667c3def769,kr_sp1,|82719092375773755136594,HHggJOf8+6oyAcckYAlxe+GVYHdv1ERXOfJJAeHTXc8=,2024-10-05,보험 입력은 어떻게 하는지요??,tZWu6xs/+2CslfYyIA9VYt+Vfsl+MXM+LxMDuTgNe2g=,2.0,"服务不满,使用指导",您如何投入保险？
售后,英文,1f3c8afd472b622be01a374626850a4b,eu_sp1,|82722022632643528686558,/EcXgzSuZp1Q+vxjyCnJfQ==,2024-10-03,How do i return my drone under DJI care refresh,YRLUnBgXPdvPJXTKRdqAGnyKWz2mmZNkPkYxUUyE3c0=,5.0,"保修咨询,使用指导,退换处理",在DJI Care刷新下，我如何退还无人机
售前,英文,51ad91b00707f04f02a3277f243ac88d,na_store1,|82720088856555504384982,aaE0NHVK9Pqtm5Db+pOw+2F1N/W5aWE9wFr8av69TC0=,2024-10-04,I need to send the dji mini 3 for repair. Do I need to send the controller screen too? ,4F630E/QVQLg+MY1F4Zcf4RIIQYBTN1vCV4Nbw9vsds=,3.0,"设备维修,设备兼容",我需要发送DJI Mini 3进行维修。我也需要发送控制器屏幕吗？
售后,英文,dd75a2d2a9d7f310ab78366714d1ea8b,au_sp1,|82717494056064797830250,Oqtxy8Egm5laNetQi/54bbo1jo4Ur+lC1o5yxWoN+yQ=,2024-10-06,,,,无效数据,
售后,英文,c4297d468d8151d095a86c517c4499ab,fb_sp1,|82717578883945648114740,qhxKMj6BXLpcTP05Qz0L0A==,2024-10-06,MY DRONE IS LOST,1SvU0uLJiNjiGTBghgZb3Jt5HUAk2S8v6ZNSTfM5iGI=,4.0,设备丢失,我的无人机丢失了
售后,英文,9f6772a7129576a5f35e18c28b21a5a8,eu_sp1,|82717590080305771841365,Zb7vanS7/S76foT8grzNZPMK5oOTKLdKy6sGuWC9utM=,2024-10-06,Kann man die Drohne Mini 4 Pro ohne Fernsteuerung kaufen ?,119n1zZcYruxXqLuz67h86eAQyairrlWZ5mm3V693Yk=,5.0,"满意表扬,使用指导",Kann Man Die Drohne Mini 4 Pro Ohne Fernsteuerung Kaufen？
售后,英文,31562a47ef733649d41e84beec4750d6,eu_sp1,|82717593982015831710169,Zb7vanS7/S76foT8grzNZPMK5oOTKLdKy6sGuWC9utM=,2024-10-06,Kann man die Drohne Mini 4 Pro  ohne Fernsteuerung kaufen ?,119n1zZcYruxXqLuz67h86eAQyairrlWZ5mm3V693Yk=,2.0,"服务不满,使用指导",Kann Man Die Drohne Mini 4 Pro Ohne Fernsteuerung Kaufen？
售后,英文,80009ed40f820df2b1ef6863488d60d3,na_sp1,|82717613991376152463527,FPqlH1IVAl7DBjUmIKhj3nnS/kgfDQN/1RXEOWAMK4U=,2024-10-06,How do I download the DJI app for a mini 4k,odcqSPgsCcdLdu3+ZdDoLCCh8gnCVrxOMQ5rWRL2+24=,1.0,"APP使用,使用指导",如何下载Mini 4K的DJI应用程序
售前,英文,b1eafed8f30b699d1f5795b025dd44c8,na_store1,|82718141083712962164149,wIqi/cNKhXZL5fnhghtOKxrulkNhr4q/bwh4l0qVz4U=,2024-10-06,,,,无效数据,
售前,英文,d613e73ecbb68a51c927f05372919893,au_store1,|82718099423222728995836,m7JI5AB00DUuW4dbEu8QT+S4GVFZ6EfGKuthh6cX+KA=,2024-10-06,Hi which monitor hood is compatible with the mini 3 pro  ,uexkMqETiuJOEyGNVKYe0RMfnzOvCdaYxVw93z2iiPs=,2.0,"设备兼容,礼貌问候",嗨，哪个显示器引擎盖与Mini 3 Pro兼容
售前,英文,5f9835823654a6ec3dd3e701ca504b62,na_store1,|82718099655512729991251,BHjQLGGW4Ju+QBpQYWX6Ig==,2024-10-06,Video verification page needs to be addressed! Instructional video does not work properly.,Uwjr9plq2vk5CzfanwgsTw+QkzKIqfRELhWN0Ph8Ajs=,2.0,"产品故障,物流配送",视频验证页面需要解决！教学视频无法正常工作。
售后,英文,59a57b3401164b890111169054ac1735,eu_sp1,|82716972322452979975646,5g83cKyIwLDo+5uBiNwKPpzhUdp2LGMPbe4pB+Q+OYc=,2024-10-07,absolutely convoluted process,cyi918EWVWztQFJCV37Kvkm1VfCJGUWBxi94nmZ59kc=,1.0,服务不满,绝对复杂的过程
售前,英文,5927b30c151e67ba47c83b460e1cf621,eu_store1,|82716221453126179585383,QHOFFSALCsNlfJREegseuA==,2024-10-08,"None of the dji apps work on my phones, s24 ultra and oppo x5 pro",bwQBIjm3IFM5DEwJvQbo/1giHdYrfN7qlYx8V2U+bZI=,1.0,APP使用,我的手机，S24 Ultra和Oppo X5 Pro都无法使用DJI应用程序
售后,英文,31bf46fb8107e546469d8ac658280738,fb_fly1,|82716241516606735166846,qGhW1UU68ADV9VZdxWgWlg==,2024-10-08,How can I fly higher than 120 m,4ZZJcFpsM66rX5FlXWmh8ZFIR//QjQ4A4cR+k2pZhrI=,5.0,"礼貌问候,使用指导",我如何飞行高于120 m的飞行
售前,英文,d4ab2728c9f843708890fa22619bd5cb,eu_store1,|82716234212476157915066,TkHUCQ8ZpMKGDMe/Dx068Q==,2024-10-08,"orribile service , they lost my order they called me several time for no news bad bad bad ",ocngstEU5iA8I7KE+EFNBV4fgw1lJcZKoKCSEXuvTRs=,1.0,"服务不满,购买咨询,设备丢失",Orribile服务，他们失去了我的订单，他们给我打电话几次，因为没有新闻不好的坏坏了
售前,英文,a076a59475ee0dc33a5af7fba9c9867e,na_store15,|82716556583291995468384,UCCB1jSDu0Rx/w94lvgnwB/8rggnwWpmbTZijIVhxyw=,2024-10-09,,,,无效数据,
售前,英文,0a63b360deacfdcc25ec12a7a7e5e4f1,na_store1,|82715201886505998447533,Cih+cj3zECA7wzIvhbQKhg==,2024-10-09,Can this policy be cancelled. I will have to return the drone since the course has been cancelled...,JEkS73veP704Ib4eMTldO96KUd8si9zszpmliCaThfk=,3.0,"礼貌问候,退换处理",可以取消此政策。自比赛被取消以来，我将不得不退还无人机...
售后,英文,621dc9926b8879ddf9501014d93cf877,eu_sp1,|82715280019727324322315,y8AxGosMxKZBW+BuBv3gpw==,2024-10-09,,,,无效数据,
售后,小语种,993a7acfb733ed583907543f685af11b,de_sp1,|82715838461016468971301,R8qRrM+piYHboexzKT2UHQ==,2024-10-08,Bad Service for the DJI Neo,jsc7/yZBQLB0hxPhQAOWY3wuO6jl9jkoESfdVsGwEZM=,1.0,服务不满,DJI NEO的不良服务
售前,英文,3faaaafdadaa639faabf414f0e057a39,au_store1,|82715604383648808794339,lDelP2A7to/tgC+pRXTdf7KxU7FR8iW2wd++/POXlZU=,2024-10-09,Didnt address the question at all,3eLt0qp2CkHmI3oQk+o+3Qyct5joPrTjBGOnS+1WMcQ=,1.0,物流配送,根本没有解决这个问题
售后,英文,f15c5a9e9e0df576123b5403918bdb4d,na_sp1,|82714067040283775169814,60iCn78snP0ZYDxAKr0Kpw==,2024-10-10,It gives 30 seconds to create and send a message and then times out.  I'm now trying 3rd time!,g+vKQ7qS4wb7JXYaWiGluBIZgqDL74GB07mtkIrY3Qo=,1.0,服务不满,它给出了30秒的时间来创建和参见信息，然后散发出来。  我现在尝试第三次！
售前,小语种,f10a4655df6ce04adb6ee1b052285d71,kr_store1,|82716151316453668853511,U0nQfCLk6aF0hrVBTyJvirHv/dOdgCs0k0qkdSdBQtg=,2024-10-08,,,,无效数据,
售前,小语种,fe53bc1dcc8fde750d3465f6af6bc31d,de_store1,|82716155216943776835206,Ne8j1/C1UF5AgKQP2J5jN52xuKN7f99oYXD4CwKw3mE=,2024-10-08,Ihr von DJI seid die Besten! Super Service super Job den ihr da alle Hinlegt. Würde mich über so ein,sVt0Brvj3IedWPLJtG1VTPUdjWQe0J0w0kV+mnlkOPQ=,5.0,"满意表扬,礼貌问候",IHR von dji seid死了！ Super Service Super Job Den IHR DA Allegt。 WürdMichüberSo Ein
售后,英文,00fa672808ad17618aede708eadbfd3c,na_sp1,|82713266828777798969177,4JuBWHoCLqnsNdxxQAIT5g==,2024-10-11,,,,无效数据,
售后,英文,ffa87d586482337b4a155f47be9a0795,en_other18,|82712282245717679216367,PqvRZ7MuHnENmBwo8tlNcn8yeaVuHCoAOFmcRBZ6M7Y=,2024-10-12,On my DJI Phantom for pro it reads Gimble not connected. Please tell me what I can do  ,7R0wRGNTbXvHW3Dsa/UWtEbjYDSPVYbFmZVNj/YYE0w=,5.0,"产品故障,APP使用,设备兼容,礼貌问候",在我的dji幻影上，它读取了gimble未连接。请告诉我我能做什么
售前,英文,a471629180b21901ffeedff34eb60e15,na_store1,|82711937568184910198713,qUyPiouF70wEoxbdT1EuOzLq9cG3WyK/kHscVc3O7r0=,2024-10-13,I cant get an answer to where to get Phantom 2 fly app for Android. Contact me at akanyr@yahoo.com,St3fNCmy0YWvu62W4xyGea9xMeHcjKRC0HgNFGt8hR0=,1.0,"APP使用,使用指导",我无法答复在哪里获得Android的Phantom 2 Fly应用程序。通过akanyr@yahoo.com与我联系
